Irrigation,SoilMoisture
6.76E-06,0.4155821774
6.76E-06,0.4185373774
6.76E-06,0.4203796494
6.76E-06,0.4222513984
6.76E-06,0.4246744529
6.76E-06,0.4278961998
6.76E-06,0.4278961998
6.76E-06,0.4278906724
4.37E-06,0.4196800058
4.37E-06,0.4199743935
4.37E-06,0.4202662837
4.37E-06,0.4205565128
4.37E-06,0.4208453941
4.37E-06,0.4211332622
4.37E-06,0.4214204619
4.37E-06,0.4217073421
4.37E-06,0.4219942542
4.37E-06,0.4222815533
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
6.97E-06,0.4273535759
2.64E-06,0.421299131
2.64E-06,0.4213871771
2.64E-06,0.4214755079
2.64E-06,0.4215639917
2.64E-06,0.4216525919
2.64E-06,0.4217412774
2.64E-06,0.4218300209
2.64E-06,0.4219187988
2.64E-06,0.4220075908
1.97E-07,0.4181976741
1.97E-07,0.4182196293
1.97E-07,0.4182419741
1.97E-07,0.418264678
1.97E-07,0.4182877131
1.97E-07,0.4183110537
1.97E-07,0.4183346765
1.97E-07,0.4183585596
1.97E-07,0.4183826829
1.97E-07,0.418407028
1.97E-07,0.4184315774
1.97E-07,0.4184563153
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
5.37E-06,0.4318662184
2.87E-06,0.4252703477
2.87E-06,0.4253675954
2.87E-06,0.4254651348
2.87E-06,0.4255628127
2.87E-06,0.4256606278
2.87E-06,0.4257585802
2.87E-06,0.4258566703
2.87E-06,0.4259548992
2.87E-06,0.4260532683
2.87E-06,0.4261517798
2.87E-06,0.4262504361
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.47E-06,0.4224864401
9.07E-06,0.4231311243
9.07E-06,0.4231311243
9.07E-06,0.4231311243
9.07E-06,0.4231311243
9.07E-06,0.4231311243
9.07E-06,0.4231311243
9.07E-06,0.4231311243
9.07E-06,0.4231311243
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.99E-06,0.4372692211
3.46E-07,0.4221767161
3.46E-07,0.4221885965
3.46E-07,0.4222004795
3.46E-07,0.4222125902
3.46E-07,0.42222492
3.46E-07,0.4222374605
3.46E-07,0.4222502039
3.46E-07,0.4222631424
3.46E-07,0.4222762689
3.46E-07,0.4222895764
3.46E-07,0.4223030581
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
6.75E-06,0.4279100228
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
8.39E-06,0.4243524316
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
9.72E-06,0.4220965293
6.64E-07,0.4237412761
6.64E-07,0.4237609208
6.64E-07,0.4237806132
6.64E-07,0.4238003502
6.64E-07,0.4238201303
6.64E-07,0.4238399514
6.64E-07,0.4238598121
6.64E-07,0.4238797104
6.64E-07,0.4238996449
6.64E-07,0.423919614
4.56E-06,0.4348115528
4.56E-06,0.4348115528
4.56E-06,0.4348115528
4.56E-06,0.4348115528
4.56E-06,0.4348115528
4.56E-06,0.4348115528
4.56E-06,0.4348115528
4.56E-06,0.4348115528
4.56E-06,0.4348115528
5.87E-06,0.4303099471
5.87E-06,0.4303099471
5.87E-06,0.4303099471
5.87E-06,0.4303099471
5.87E-06,0.4303099471
5.87E-06,0.4303099471
5.87E-06,0.4303099471
5.87E-06,0.4303099471
5.87E-06,0.4303099471
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
6.90E-06,0.4275383298
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
7.22E-06,0.4267720712
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
6.54E-06,0.4284500086
7.30E-06,0.4266033152
7.30E-06,0.4266033152
7.30E-06,0.4266033152
7.30E-06,0.4266033152
7.30E-06,0.4266033152
7.30E-06,0.4266033152
7.30E-06,0.4266033152
7.30E-06,0.4266033152
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
3.80E-06,0.4381542609
5.86E-06,0.4303361257
5.86E-06,0.4303361257
5.86E-06,0.4303361257
5.86E-06,0.4303361257
5.86E-06,0.4303361257
5.86E-06,0.4303361257
5.86E-06,0.4303361257
5.86E-06,0.4303361257
1.25E-06,0.428886457
1.25E-06,0.4289099476
1.25E-06,0.4289334803
1.25E-06,0.4289570519
1.25E-06,0.428980661
1.25E-06,0.4290043067
1.25E-06,0.4290279876
1.25E-06,0.4290517028
1.25E-06,0.4290754512
1.25E-06,0.4290992317
1.25E-06,0.4291230434
1.25E-06,0.4291468852
6.71E-07,0.4274043697
6.71E-07,0.4274174457
6.71E-07,0.4274305839
6.71E-07,0.4274437826
6.71E-07,0.4274570404
6.71E-07,0.427470356
6.71E-07,0.427483728
6.71E-07,0.427497155
6.71E-07,0.4275106359
6.71E-07,0.4275241693
6.71E-07,0.4275377541
6.71E-07,0.427551389
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
9.80E-06,0.4219715811
2.92E-06,0.4430908009
2.92E-06,0.4430908009
2.92E-06,0.4430908009
2.92E-06,0.4430908009
2.92E-06,0.4430908009
2.92E-06,0.4430908009
2.92E-06,0.4430908009
2.92E-06,0.4430908009
5.99E-06,0.4299460836
5.99E-06,0.4299460836
5.99E-06,0.4299460836
5.99E-06,0.4299460836
5.99E-06,0.4299460836
5.99E-06,0.4299460836
5.99E-06,0.4299460836
5.99E-06,0.4299460836
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
9.63E-06,0.4222388605
1.94E-06,0.4331227947
1.94E-06,0.4331762625
1.94E-06,0.4332297507
1.94E-06,0.4332832205
1.94E-06,0.4333366736
1.94E-06,0.4333901121
1.94E-06,0.4334435377
1.94E-06,0.4334969522
1.94E-06,0.4335503576
1.94E-06,0.4336037555
1.94E-06,0.4336571479
1.94E-06,0.4337105365
2.01E-06,0.4342151237
2.01E-06,0.4342737147
2.01E-06,0.4343324005
2.01E-06,0.4343911142
2.01E-06,0.4344498579
2.01E-06,0.4345086342
2.01E-06,0.4345674455
2.01E-06,0.434626294
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
3.48E-06,0.4397846764
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
9.34E-06,0.4226982372
3.97E-06,0.437359514
3.97E-06,0.437359514
3.97E-06,0.437359514
3.97E-06,0.437359514
3.97E-06,0.437359514
3.97E-06,0.437359514
3.97E-06,0.437359514
3.97E-06,0.437359514
3.97E-06,0.437359514
2.80E-06,0.4438536846
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
2.80E-06,0.4438483155
1.60E-06,0.4343840817
1.60E-06,0.434417909
1.60E-06,0.4344516495
1.60E-06,0.4344854102
1.60E-06,0.4345191914
1.60E-06,0.4345529928
1.60E-06,0.4345868145
1.60E-06,0.4346206564
1.60E-06,0.4346545183
4.03E-06,0.4370644319
4.03E-06,0.4370644319
4.03E-06,0.4370644319
4.03E-06,0.4370644319
4.03E-06,0.4370644319
4.03E-06,0.4370644319
4.03E-06,0.4370644319
4.03E-06,0.4370644319
4.03E-06,0.4370644319
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
3.81E-06,0.4381110603
1.40E-06,0.4344060373
1.40E-06,0.4344316608
1.40E-06,0.4344568433
1.40E-06,0.4344820525
1.40E-06,0.4345072883
1.40E-06,0.4345325502
1.40E-06,0.4345578378
1.40E-06,0.4345831509
1.40E-06,0.434608489
1.40E-06,0.4346338517
1.40E-06,0.4346592388
4.41E-06,0.4354277756
4.41E-06,0.4354277756
4.41E-06,0.4354277756
4.41E-06,0.4354277756
4.41E-06,0.4354277756
4.41E-06,0.4354277756
4.41E-06,0.4354277756
4.41E-06,0.4354277756
4.41E-06,0.4354277756
1.01E-06,0.4330108792
1.01E-06,0.4330258017
1.01E-06,0.4330407467
1.01E-06,0.4330557265
1.01E-06,0.4330707404
1.01E-06,0.4330857878
1.01E-06,0.4331008682
1.01E-06,0.4331159811
1.01E-06,0.4331311258
1.01E-06,0.4331463018
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
6.18E-06,0.4293934095
2.09E-07,0.4302726928
2.09E-07,0.4302770316
2.09E-07,0.4302814204
2.09E-07,0.4302858584
2.09E-07,0.430290345
2.09E-07,0.4302948795
2.09E-07,0.4302994614
2.09E-07,0.43030409
5.78E-06,0.4305835276
5.78E-06,0.4305835276
5.78E-06,0.4305835276
5.78E-06,0.4305835276
5.78E-06,0.4305835276
5.78E-06,0.4305835276
5.78E-06,0.4305835276
5.78E-06,0.4305835276
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
7.92E-06,0.4252705204
2.43E-06,0.4465543144
2.43E-06,0.4465543144
2.43E-06,0.4465543144
2.43E-06,0.4465543144
2.43E-06,0.4465543144
2.43E-06,0.4465543144
2.43E-06,0.4465543144
2.43E-06,0.4465543144
2.43E-06,0.4465543144
4.54E-06,0.4349032102
4.54E-06,0.4349032102
4.54E-06,0.4349032102
4.54E-06,0.4349032102
4.54E-06,0.4349032102
4.54E-06,0.4349032102
4.54E-06,0.4349032102
4.54E-06,0.4349032102
4.54E-06,0.4349032102
5.74E-06,0.4307010048
5.74E-06,0.4307010048
5.74E-06,0.4307010048
5.74E-06,0.4307010048
5.74E-06,0.4307010048
5.74E-06,0.4307010048
5.74E-06,0.4307010048
5.74E-06,0.4307010048
5.74E-06,0.4307010048
7.08E-07,0.4327009302
7.08E-07,0.4327122198
7.08E-07,0.4327235279
7.08E-07,0.432734855
7.08E-07,0.4327462007
7.08E-07,0.4327575648
7.08E-07,0.4327689469
7.08E-07,0.4327803469
5.01E-06,0.4330919467
5.01E-06,0.4330919467
5.01E-06,0.4330919467
5.01E-06,0.4330919467
5.01E-06,0.4330919467
5.01E-06,0.4330919467
5.01E-06,0.4330919467
5.01E-06,0.4330919467
5.01E-06,0.4330919467
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
6.46E-06,0.4286501622
2.29E-06,0.4476685923
2.29E-06,0.4476685923
2.29E-06,0.4476685923
2.29E-06,0.4476685923
2.29E-06,0.4476685923
2.29E-06,0.4476685923
2.29E-06,0.4476685923
2.29E-06,0.4476685923
2.29E-06,0.4476685923
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
8.39E-06,0.4243548435
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
9.71E-06,0.4221028508
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
8.48E-06,0.4241824786
5.11E-06,0.4327519098
5.11E-06,0.4327515575
5.11E-06,0.4327515575
5.11E-06,0.4327515575
5.11E-06,0.4327515575
5.11E-06,0.4327515575
5.11E-06,0.4327515575
5.11E-06,0.4327515575
2.86E-06,0.4434764972
2.86E-06,0.4434764972
2.86E-06,0.4434764972
2.86E-06,0.4434764972
2.86E-06,0.4434764972
2.86E-06,0.4434764972
2.86E-06,0.4434764972
2.86E-06,0.4434764972
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
7.49E-06,0.4261700856
2.45E-06,0.4464344926
2.45E-06,0.4464344926
2.45E-06,0.4464344926
2.45E-06,0.4464344926
2.45E-06,0.4464344926
2.45E-06,0.4464344926
2.45E-06,0.4464344926
2.45E-06,0.4464344926
2.45E-06,0.4464344926
9.58E-06,0.4223131421
9.58E-06,0.4223131421
9.58E-06,0.4223131421
9.58E-06,0.4223131421
9.58E-06,0.4223131421
9.58E-06,0.4223131421
